st,state,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
AL,Alabama,NA,NA,NA,3,5,7,7,6,8,8,9,9,10,10,9,9,9,8,7,7,7,7,7
AK,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
AZ,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,3,4,5,6,8,9
AR,Arkansas,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,7,7,7,7,6,4,4,4,4,4,4
CA,California,NA,NA,NA,NA,NA,NA,2,3,4,6,7,8,11,11,20,23,30,38,43,45,52,53,53
CO,Colorado,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,4,4,4,4,4,4,5,6,6,7,7
CT,Connecticut,7,7,7,6,6,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,5,5
DE,Delaware,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DC,D. C.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
FL,Florida,NA,NA,NA,NA,NA,NA,1,1,2,2,2,3,4,4,5,6,8,12,15,19,23,25,27
GA,Georgia,2,4,6,7,9,8,8,7,9,10,11,11,12,12,10,10,10,10,10,10,11,13,14
HI,Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2
ID,Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,2,2,2
IL,Illinois,NA,NA,NA,1,3,7,9,14,19,20,22,25,27,27,27,26,25,24,24,22,20,19,18
IN,Indiana,NA,NA,NA,3,7,10,11,11,13,13,13,13,13,13,12,11,11,11,11,10,10,9,9
IA,Iowa,NA,NA,NA,NA,NA,NA,2,6,9,11,11,11,11,11,9,8,8,7,6,6,5,5,4
KS,Kansas,NA,NA,NA,NA,NA,NA,NA,1,3,7,8,8,8,8,7,6,6,5,5,5,4,4,4
KY,Kentucky,2,6,10,12,13,10,10,9,10,11,11,11,11,11,9,9,8,7,7,7,6,6,6
LA,Louisiana,NA,NA,1,3,3,4,4,5,6,6,6,7,8,8,8,8,8,8,8,8,7,7,6
ME,Maine,NA,NA,NA,7,8,7,6,5,5,4,4,4,4,4,3,3,3,2,2,2,2,2,2
MD,Maryland,8,9,9,9,8,6,6,5,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8
MA,Massachusetts,14,17,20,13,12,10,11,10,11,12,13,14,16,16,15,14,14,12,12,11,10,10,9
MI,Michigan,NA,NA,NA,NA,NA,3,4,6,9,11,12,12,13,13,17,17,18,19,19,18,16,15,14
MN,Minnesota,NA,NA,NA,NA,NA,NA,NA,2,3,5,7,9,10,10,9,9,9,8,8,8,8,8,8
MS,Mississippi,NA,NA,NA,1,2,4,5,5,6,7,7,8,8,8,7,7,6,5,5,5,5,4,4
MO,Missouri,NA,NA,NA,1,2,5,7,9,13,14,15,16,16,16,13,13,11,10,10,9,9,9,8
MT,Montana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,1,1,1
NE,Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,6,6,6,5,4,4,3,3,3,3,3,3
NV,Nevada,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4
NH,New Hampshire,4,5,6,6,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NJ,New Jersey,5,6,6,6,6,5,5,5,7,7,8,10,12,12,14,14,14,15,15,14,13,13,12
NM,New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,3,3,3,3
NY,New York,10,17,27,34,40,34,33,31,33,34,34,37,43,43,45,45,43,41,39,34,31,29,27
NC,North Carolina,10,12,13,13,13,9,8,7,8,9,9,10,10,10,11,12,12,11,11,11,12,13,13
ND,North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,2,2,2,2,1,1,1,1,1
OH,Ohio,NA,1,6,14,19,21,21,19,20,21,21,21,22,22,24,23,23,24,23,21,19,18,16
OK,Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,9,8,6,6,6,6,6,5,5
OR,Oregon,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,3,3,3,4,4,4,4,5,5,5,5
PA,Pennsylvania,13,18,23,26,28,24,25,24,27,28,30,32,36,36,34,33,30,27,25,23,21,19,18
RI,Rhode Island,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2
SC,South Carolina,6,8,9,9,9,7,6,4,5,7,7,7,7,7,6,6,6,6,6,6,6,6,7
SD,South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,2,2,2,2,2,1,1,1,1
TN,Tennessee,NA,3,6,9,13,11,10,8,10,10,10,10,10,10,9,10,9,9,8,9,9,9,9
TX,Texas,NA,NA,NA,NA,NA,NA,2,4,6,11,13,16,18,18,21,21,22,23,24,27,30,32,36
UT,Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,3,3,3,4
VT,Vermont,2,4,6,5,5,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
VA,Virginia,19,22,23,22,21,15,13,11,9,10,10,10,10,10,9,9,10,10,10,10,11,11,11
WA,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,5,6,6,7,7,7,8,9,9,10
WV,West Virginia,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,5,6,6,6,6,6,5,4,4,3,3,3
WI,Wisconsin,NA,NA,NA,NA,NA,NA,3,6,8,9,10,11,11,11,10,10,10,10,9,9,9,8,8
WY,Wyoming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1