state,ecvotes,dem,rep,other
Alabama,11,198918,44540,1285
Arizona,4,80926,56287,421
Arkansas,9,148965,63551,438
California,25,1988564,1512965,19346
Colorado,6,234331,268731,1977
Connecticut,8,435146,390527,6317
Delaware,3,68166,56747,448
Florida,8,339377,143215,0
Georgia,12,268187,59880,42
Idaho,4,107399,100137,785
Illinois,28,2079479,1939314,17268
Indiana,13,781403,875891,14797
Iowa,10,499876,547267,5456
Kansas,8,287458,442096,4222
Kentucky,11,472589,392448,2884
Louisiana,10,281564,67750,69
Maine,5,140631,155434,335
Maryland,8,315490,292949,0
Massachusetts,16,1035296,921350,4019
Michigan,19,1106899,1084423,13901
Minnesota,11,589864,527416,8249
Mississippi,9,168479,11601,0
Missouri,15,807804,761524,3146
Montana,4,112556,93163,1636
Nebraska,6,233246,329880,0
Nevada,3,29623,24611,0
New Hampshire,4,119663,109916,48
New Jersey,16,987874,961335,14552
New Mexico,4,81389,70688,148
New York,47,3304238,2987647,24932
North Carolina,14,527399,263155,0
North Dakota,4,100144,118535,1492
Ohio,25,1570763,1582293,0
Oklahoma,10,401549,319424,1663
Oregon,6,248635,225365,6147
Pennsylvania,35,1940479,1835054,19260
Rhode Island,4,175356,123487,433
South Carolina,8,90601,4610,8164
South Dakota,4,96711,135365,0
Tennessee,12,308707,200311,1674
Texas,23,821605,191425,137301
Utah,4,150088,97891,340
Vermont,3,53820,71527,14
Virginia,11,242276,145243,966
Washington,8,486774,361689,7865
West Virginia,8,392777,322819,0
Wisconsin,12,650413,674532,14207
Wyoming,3,49419,51921,0